model,cost,precision,recall,f1,pricing_type,cost_norm,score
deepseek_deepseek-chat,2.095644869999999,0.9141757394242447,0.9230824150363023,0.9179450066862799,regular,0.8018024788274595,0.8559519208350289
deepseek_deepseek-chat (Discounted),1.0478224349999992,0.9141757394242447,0.9230824150363023,0.9179450066862799,discounted,0.9130058976958341,0.915468790407401
gemini_gemini-2.5-flash-preview-05-20,0.7670770499999892,0.8911998104969915,0.5876272488687471,0.7020641080655414,regular,0.9428008759294497,0.8048157903333857
gemini_gemini-2.5-flash-preview-05-20 (Discounted),0.3835385249999892,0.8911998104969915,0.5876272488687471,0.7020641080655414,discounted,0.9835050962468296,0.8192883761852163
openai_gpt-4.1-2025-04-14,6.652673999999994,0.9005167080679852,0.921543137896317,0.9105601816645444,regular,0.31817357166555704,0.47156869326892137
openai_gpt-4.1-2025-04-14 (Discounted),3.3263369999999943,0.9005167080679852,0.921543137896317,0.9105601816645444,discounted,0.671191444114883,0.7727638060542902
openai_gpt-4.1-mini-2025-04-14,1.2434407999999983,0.9192131209994651,0.9177229895732408,0.9177748655656921,regular,0.8922452895480981,0.9048300355695734
openai_gpt-4.1-mini-2025-04-14 (Discounted),0.6217203999999983,0.9192131209994651,0.9177229895732408,0.9177748655656921,discounted,0.9582273030561534,0.9375649441703914
openai_gpt-4o-mini,0.4562281499999819,0.8214759334248637,0.8659289212053664,0.8362554572070322,regular,0.9757906834357896,0.900650668669485
openai_gpt-4o-mini (Discounted),0.22811407499998188,0.8214759334248637,0.8659289212053664,0.8362554572070322,discounted,1.0,0.9108269265312217
openai_gpt-4o,7.573662499999991,0.9189270985129103,0.9539791948175422,0.935956550096129,regular,0.2204307991141604,0.3568244678821788
openai_gpt-4o (Discounted),3.7868312499999908,0.9189270985129103,0.9539791948175422,0.935956550096129,discounted,0.6223200578391849,0.7475752782588979
xai_grok-3-latest,9.650687999999995,0.9075014690298786,0.8998110969274999,0.9006208704518348,regular,0.0,0.0
xai_grok-3-mini-beta,0.8645454999999926,0.9505342917489408,0.43072849393810697,0.5904301001801737,regular,0.9324567331531961,0.7230353698235699
