model,cost_per_text,pricing_type
xai_grok-3-latest,0.01884899999999999,Regular
openai_gpt-4o,0.014792309570312483,Regular
openai_gpt-4.1-2025-04-14,0.012993503906249988,Regular
openai_gpt-4o (Discounted),0.007396154785156232,Discounted
openai_gpt-4.1-2025-04-14 (Discounted),0.006496751953124989,Discounted
deepseek_deepseek-chat,0.00417459137450199,Regular
xai_grok-3-mini-beta,0.003338013513513485,Regular
openai_gpt-4.1-mini-2025-04-14,0.0024285953124999968,Regular
deepseek_deepseek-chat (Discounted),0.0020872956872509943,Discounted
gemini_gemini-2.5-flash-preview-05-20,0.0017922360981308158,Regular
openai_gpt-4.1-mini-2025-04-14 (Discounted),0.0012142976562499967,Discounted
gemini_gemini-2.5-flash-preview-05-20 (Discounted),0.0008961180490653953,Discounted
openai_gpt-4o-mini,0.0008910706054687147,Regular
openai_gpt-4o-mini (Discounted),0.0004455353027343396,Discounted
