model,cost,precision,pricing_type
deepseek_deepseek-chat,0.00417459137450199,0.9141757394242447,regular
deepseek_deepseek-chat (Discounted),0.0020872956872509943,0.9141757394242447,discounted
gemini_gemini-2.5-flash-preview-05-20,0.0017922360981308158,0.8911998104969915,regular
openai_gpt-4.1-2025-04-14,0.012993503906249988,0.9005167080679852,regular
openai_gpt-4.1-2025-04-14 (Discounted),0.006496751953124989,0.9005167080679852,discounted
openai_gpt-4.1-mini-2025-04-14,0.0024285953124999968,0.9192131209994651,regular
openai_gpt-4.1-mini-2025-04-14 (Discounted),0.0012142976562499967,0.9192131209994651,discounted
openai_gpt-4o-mini,0.0008910706054687147,0.8214759334248637,regular
openai_gpt-4o-mini (Discounted),0.0004455353027343396,0.8214759334248637,discounted
openai_gpt-4o,0.014792309570312483,0.9189270985129103,regular
openai_gpt-4o (Discounted),0.007396154785156232,0.9189270985129103,discounted
xai_grok-3-latest,0.01884899999999999,0.9075014690298786,regular
xai_grok-3-mini-beta,0.003338013513513485,0.9505342917489408,regular
