model,cost,recall,pricing_type
deepseek_deepseek-chat,0.00417459137450199,0.9230824150363023,regular
deepseek_deepseek-chat (Discounted),0.0020872956872509943,0.9230824150363023,discounted
gemini_gemini-2.5-flash-preview-05-20,0.0017922360981308158,0.5876272488687471,regular
openai_gpt-4.1-2025-04-14,0.012993503906249988,0.921543137896317,regular
openai_gpt-4.1-2025-04-14 (Discounted),0.006496751953124989,0.921543137896317,discounted
openai_gpt-4.1-mini-2025-04-14,0.0024285953124999968,0.9177229895732408,regular
openai_gpt-4.1-mini-2025-04-14 (Discounted),0.0012142976562499967,0.9177229895732408,discounted
openai_gpt-4o-mini,0.0008910706054687147,0.8659289212053664,regular
openai_gpt-4o-mini (Discounted),0.0004455353027343396,0.8659289212053664,discounted
openai_gpt-4o,0.014792309570312483,0.9539791948175422,regular
openai_gpt-4o (Discounted),0.007396154785156232,0.9539791948175422,discounted
xai_grok-3-latest,0.01884899999999999,0.8998110969274999,regular
xai_grok-3-mini-beta,0.003338013513513485,0.43072849393810697,regular
